"urls","mainCurrency","Price.USD","Per","Address","Construction.Type","New.Construction","Elevator","Floors.in.the.Building","The.House.Has","Parking","Floor.Area.sqm","Number.of.Rooms","Number.of.Bathrooms","Ceiling.Height","Floor","Balcony","Furniture","Renovation","Appliances","Window.Views"
"https://www.list.am/en/item/19896968","USD",202000,NA,"Nalbandyan street, Yerevan","Stone","No","Not available","5",NA,NA,70,"2","1","from 3.2 m",5,"Open balcony","Not available","No Renovation",NA,NA
"https://www.list.am/en/item/19950703","USD",135000,NA,"Amiryan street 12, Երևան","Panels","No","Available","10",NA,NA,39,"1","1","from 2.75 m",10,"Not available","Not available","Euro Renovation",NA,NA
"https://www.list.am/en/item/18968760","USD",170000,NA,"1-й переулок 9-й улицы, Ариндж","Monolith","Yes","Not available","4","Intercom entry, playground","Outdoor parking",77,"3","1","from 3 m",4,"Open balcony","Partial Furniture","Major Renovation","Stove, dishwasher","Yard view, street view, city view, park view"
"https://www.list.am/en/item/19330435","USD",93000,NA,"Griboyedov street 2, Yerevan","Panels","No","Available","9","Intercom entry",NA,43,"2","1","from 2.8 m",9,"Closed balcony","Available","Euro Renovation","Air conditioner, fridge, stove, washing machine","Yard view"
"https://www.list.am/en/item/14282074","USD",310000,NA,"SasnaTsrer street 2, Yerevan","Monolith","Yes","Available","16",NA,NA,111,"4","3+","from 3 m",16,"Multiple balconies","Available","Designer Renovation","Air conditioner, fridge, stove, dishwasher, washing machine, drying m","Yard view, street view, city view, park view, view of Ararat"
"https://www.list.am/en/item/18526159","USD",142000,NA,"Улица Микаэла Налбандяна 49, Ереван","Stone","No","Not available","3","Intercom entry, playground","Outdoor parking",56,"2","2","from 3.2 m",3,"Closed balcony","Not available","Old Renovation",NA,"Yard view"
"https://www.list.am/en/item/19850358","USD",91500,NA,"Mazmanyan Street 16, Yerevan","Stone","No","Not available","5",NA,NA,75,"3","1","from 2.75 m",5,"Open balcony","Partial Furniture","Cosmetic Renovation",NA,NA
"https://www.list.am/en/item/19946866","USD",169000,NA,"Gyulbenkyan street 24, Yerevan","Stone","No","Not available","5","Intercom entry, playground","Outdoor parking",80,"3","1","from 2.75 m",5,"Multiple balconies","Available","Major Renovation","Fridge, stove, washing machine","Yard view, street view"
"https://www.list.am/en/item/19720834","USD",80000,NA,"Բաշինջաղյան փողոց, Yerevan","Panels","No","Available","16","Intercom entry, concierge, playground","Outdoor parking",80,"3","1","from 2.75 m",16,"Multiple balconies","By agreement","Old Renovation",NA,"Yard view, city view, view of Ararat"
"https://www.list.am/en/item/19711208","USD",250000,NA,"Փարպեցու փողոց, Երևան","Stone","No","Not available","5","Intercom entry",NA,100,"2","1","from 2.8 m",5,"Open balcony","By agreement","Cosmetic Renovation",NA,"Yard view, street view, city view"
