"urls","mainCurrency","Price.USD","Per","Address","Construction.Type","New.Construction","Elevator","Floors.in.the.Building","The.House.Has","Parking","Floor.Area.sqm","Number.of.Rooms","Number.of.Bathrooms","Ceiling.Height","Floor","Balcony","Furniture","Renovation","Appliances","Window.Views"
"https://www.list.am/en/item/18053050","USD",80000,NA,"Estonakan street 12, Yerevan","Stone","No","Not available","4","Playground","Outdoor parking",74,"3","1","from 2.75 m",4,"Closed balcony","Not available","Cosmetic Renovation",NA,"Yard view, park view"
"https://www.list.am/en/item/19744973","AMD",59639,NA,"Spandaryan Street 5, Kapan","Stone","No","Not available","5","Playground","Outdoor parking, garage",97,"4","1","from 2.8 m",5,"Open balcony","By agreement","Cosmetic Renovation","Fridge, washing machine","Street view"
"https://www.list.am/en/item/19292223",NA,NA,NA,"Shirak › Gyumri","Stone","Yes","Not available","3","Intercom entry, playground","Outdoor parking",100,"4","1","from 2.7 m",3,"Closed balcony","Not available","Euro Renovation",NA,"Yard view, park view"
"https://www.list.am/en/item/19101994",NA,NA,NA,"Yerevan › Shengavit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://www.list.am/en/item/19931929","USD",50000,NA,"Erevanyan street, Yeghvard","Stone","No","Not available","5","Playground","Outdoor parking",67,"2","1","from 2.75 m",5,"Closed balcony","Not available","Cosmetic Renovation",NA,"Yard view"
"https://www.list.am/en/item/19956200","USD",79000,NA,"Sharuri street, Yerevan","Panels","No","Not available","4",NA,NA,68,"3","1","from 2.6 m",4,"Closed balcony","Partial Furniture","Major Renovation",NA,NA
"https://www.list.am/en/item/18515096","USD",65000,NA,"Պարույր Սևակի փողոց 19, Գյումրի","Panels","No","Not available","3",NA,NA,100,"4","1","from 3 m",3,"Multiple balconies","Not available","Designer Renovation",NA,"Street view"
"https://www.list.am/en/item/17770335","USD",48000,NA,"Araz street 41, Artaxata (Artashat)","Panels","No","Not available","5",NA,NA,96,"4","1","from 2.8 m",5,"Multiple balconies","Available","Cosmetic Renovation",NA,NA
"https://www.list.am/en/item/19920806","USD",57000,NA,"Գետափնյա փողոց 84, Դիլիջան","Stone","No","Not available","5",NA,"Outdoor parking",58,"2","1","from 2.8 m",5,"Closed balcony","Partial Furniture","Euro Renovation","Fridge, stove, washing machine","Yard view, street view"
"https://www.list.am/en/item/19613586",NA,NA,NA,"Yerevan › Kanaker-Zeytun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://www.list.am/en/item/19012417",NA,NA,NA,"Ձախափնյակ թաղամաս 23, Ջերմուկ","Stone","No","Not available","5",NA,"Outdoor parking",70,"3","1","from 3 m",5,"Not available","Available","Old Renovation",NA,NA
"https://www.list.am/en/item/19518102",NA,NA,NA,"Manandyan street, Yerevan","Stone","No","Not available","4",NA,NA,68,"2","1","from 3.2 m",4,"Closed balcony","Partial Furniture","Major Renovation",NA,"Yard view, street view"
"https://www.list.am/en/item/18906595","USD",40000,NA,"Yerevan › Erebuni","Stone","No","Not available","5",NA,NA,72,"3","1","from 3.2 m",5,"Not available","Not available","No Renovation",NA,NA
"https://www.list.am/en/item/19278816","USD",65000,NA,"12-րդ փողոց 2, Մրգաշեն համայնք","Stone","No","Not available","3","Intercom entry","Outdoor parking",100,"4","2","from 2.7 m",3,"Closed balcony","Available","Major Renovation","Fridge, stove, washing machine, drying machine","Yard view, street view, city view, view of Ararat"
"https://www.list.am/en/item/19837339","USD",19000,NA,"Armavir › Lukashin","Stone","No","Not available","2",NA,NA,60,"3","1","from 2.8 m",2,"Closed balcony","By agreement","Old Renovation",NA,NA
"https://www.list.am/en/item/19585495",NA,NA,NA,"Tavush › Dilijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://www.list.am/en/item/19586981","USD",21500,NA,"Shirak › Artik","Stone","No","Not available","4",NA,NA,80,"3","1","from 2.75 m",4,"Multiple balconies","Partial Furniture","Cosmetic Renovation","Stove","Yard view, street view"
"https://www.list.am/en/item/13988455","USD",40000,NA,"Գրիբոեդով փողոց, Սևան","Panels","No","Available","9",NA,NA,80,"3","1","from 2.8 m",9,"Closed balcony","Available","Cosmetic Renovation",NA,NA
"https://www.list.am/en/item/14628130","USD",79000,NA,"Arno Babajanian street, Yerevan","Panels","No","Available","9",NA,NA,80,"3","1","from 2.7 m",9,"Not available","Not available","No Renovation",NA,NA
"https://www.list.am/en/item/18311948","USD",13000,NA,"Viktor Hambartsumyan street 8, Vanadzor","Panels","No","Not available","9",NA,NA,87,"4","1","from 2.8 m",9,"Open balcony","Not available","No Renovation",NA,NA
"https://www.list.am/en/item/18870389",NA,NA,NA,"Улица Арапнья, ВАНАДЗОР","Panels","No","Not available","6",NA,NA,62,"2","1","from 2.8 m",6,"Open balcony","Partial Furniture","Old Renovation",NA,NA
"https://www.list.am/en/item/19116664","AMD",35783,NA,"Avetik Isahakyan Street, Vanadzor","Stone","No","Not available","5",NA,NA,58,"2","1","from 2.75 m",5,"Closed balcony","Not available","Euro Renovation",NA,NA
"https://www.list.am/en/item/18842819",NA,NA,NA,"Yerevan › Shengavit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://www.list.am/en/item/18775647","AMD",49267,NA,"Խաղաղության փողոց, Սևան","Stone","No","Not available","5","Playground","Outdoor parking",100,"4","1","from 3.2 m",5,"Multiple balconies","Available","Euro Renovation","Air conditioner, fridge, washing machine","Yard view, street view"
"https://www.list.am/en/item/19243598","USD",51000,NA,"Kentron block 32, Hrazdan","Panels","No","Available","9",NA,NA,78,"3","1","from 2.8 m",9,"Closed balcony","Partial Furniture","Major Renovation",NA,NA
"https://www.list.am/en/item/19238319","USD",40000,NA,"Կենտրոն թաղամաս 30, Հրազդան","Panels","No","Available","9",NA,NA,78,"3","1","from 2.8 m",9,"Closed balcony","Not available","Cosmetic Renovation",NA,NA
"https://www.list.am/en/item/19197056",NA,NA,NA,"Օգոստոսի 23 փողոց, Արտաշատ","Stone","Yes","Not available","5","Playground","Outdoor parking",120,"3","1","from 2.75 m",5,"Multiple balconies","Partial Furniture","Old Renovation",NA,"Yard view, city view, park view, view of Ararat"
"https://www.list.am/en/item/19637347","USD",60000,NA,"Duryan Street 12, Artaxata (Artashat)","Panels","No","Not available","5",NA,"Outdoor parking",70,"2","1","from 2.5 m",5,"Closed balcony","Partial Furniture","Partial Renovation","Fridge, stove, washing machine","Yard view, city view, view of Ararat"
"https://www.list.am/en/item/19657196","USD",33000,NA,"1district, Metsamor","Panels","No","Not available","5",NA,"Outdoor parking",60,"2","1","from 2.7 m",5,"Closed balcony","Not available","Partial Renovation",NA,"Yard view"
"https://www.list.am/en/item/19811631","USD",78000,NA,"Օհանովի փողոց, Երևան","Panels","No","Available","14",NA,NA,67,"2","1","from 2.75 m",14,"Closed balcony","By agreement","Partial Renovation",NA,NA
"https://www.list.am/en/item/19666939","USD",69000,NA,"Arno Babajanian street, Yerevan","Panels","No","Available","9",NA,NA,62,"2","1","from 2.75 m",9,"Closed balcony","Not available","No Renovation",NA,NA
